MATRÍCULA ESTABLECIMIENTO,NOMBRE ESTABLECIMIENTO,DIRECCIÓN,MUNICIPIO,TELÉFONO ESTABLECIMIENTO 1,TELÉFONO ESTABLECIMIENTO 2,TELÉFONO ESTABLECIMIENTO 3,EMAIL ESTABLECIMIENTO,CÓDIGO CIIU 1,DESCRIPCION CÓDIGO CIIU 1,CÓDIGO CIIU 2,DESCRIPCION CÓDIGO CIIU 2,CÓDIGO CIIU 3,DESCRIPCION CÓDIGO CIIU 3,CÓDIGO CIIU 4,DESCRIPCION CÓDIGO CIIU 4,MATRICULA MERCANTIL / NRO ESAL DEL PROPIETARIO,NOMBRE / RAZÓN SOCIAL PROPIETARIO,REPRESENTANTE LEGAL
737209-2,VIVIENDA TURISTICA LA NENA,CORREGIMIENTO DE CORDOBA,SOPETRAN,3103968958.0,3508866719.0,,ballesteroshernando2@gmail.com,5514,Alojamiento rural,,,,,,,714188-1,BALLESTEROS FERNANDEZ JESUS HERNANDO,
737244-2,EL ATAJO UNIT 102,CARRERA 33 NO. 5 G 18 APTO 102,MEDELLÍN,6045833582.0,,,camposandra@yahoo.com,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5519.0,Otros tipos de alojamiento para visitantes,7912.0,Actividades de operadores turísticos,,,682682-12,IN HOUSE REAL ESTATE S.A.S.,SANDRA PATRICIA CAMPO VELASQUEZ
719389-2,VISTA HERMOSA F.H JERICO,VEREDA ALTAMIRA,JERICÓ,3226329815.0,3235932828.0,,rubenpaisa13@gmail.com,5514,Alojamiento rural,5611.0,Expendio a la mesa de comidas preparadas,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,693032-1,CASTAÑEDA RUBEN DARIO,
737240-2,ALCAZABA 101,CALLE 6 NO. 32 79 APTO 101,MEDELLÍN,6045833582.0,,,camposandra@yahoo.com,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5519.0,Otros tipos de alojamiento para visitantes,7912.0,Actividades de operadores turísticos,,,682682-12,IN HOUSE REAL ESTATE S.A.S.,SANDRA PATRICIA CAMPO VELASQUEZ
737246-2,CASTILLA UNIT 502,TRANSVERSAL 5 D 39 24 APTO 502,MEDELLÍN,6045833582.0,,,camposandra@yahoo.com,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5519.0,Otros tipos de alojamiento para visitantes,7912.0,Actividades de operadores turísticos,,,682682-12,IN HOUSE REAL ESTATE S.A.S.,SANDRA PATRICIA CAMPO VELASQUEZ
720361-2,HOSPEDAJE DEL NORTE JG,CALLE 12 JUAN DEL CORRAL,TOLEDO,3117417588.0,3117423939.0,,simajigo@hotmail.com,5590,Otros tipos de alojamiento n.c.p.,,,,,,,694199-1,GOMEZ VALENCIA SOR ELEIDA,
737213-2,"AVIATUR BCM
",CALLE 5 A 43 B 25 LOCAL 105 EDIFICIO MERIDIAN,MEDELLÍN,3153396765.0,,,elizabethmorales@aviatur.com,7911,Actividades de las agencias de viaje,7912.0,Actividades de operadores turísticos,5511.0,Alojamiento en hoteles,8230.0,Organización de convenciones y eventos comerciales,,AGENCIA DE VIAJES Y TURISMO AVIATUR S.A.S,
701008-2,DREAMS CASA DE HUESPEDES.,CALLE 7 80 75 T2 APTO 2006,MEDELLÍN,3168956438.0,3158462305.0,,claudia.garcia@konfianzza.com;dreams.casahuespedes@gmail.com,5519,Otros tipos de alojamiento para visitantes,4669.0,Comercio al por mayor de otros productos n.c.p.,,,,,670819-12,INVERSIONES DREAMS S.A.S.,ALEJANDRO JARAMILLO GARCIA
684260-2,FINCA DE RECREO LA JAMUNDINA,VEREDA LA LINCE,SAN JERÓNIMO,6044019579.0,,,cjamundy@gmail.com,5514,Alojamiento rural,,,,,,,649555-1,RONDON OSORIO PABLO,
700081-2,"APARTASUITE KOSMICO
",CARRERA 37 10 26 APTO 201,MEDELLÍN,3174896517.0,,,valentinamonsalvej@hotmail.com,5512,Alojamiento en apartahoteles,5519.0,Otros tipos de alojamiento para visitantes,,,,,669639-1,MONSALVE JIMENEZ VALENTINA,
699386-2,EVENTOS L & H,VDA CAVILDO,GIRARDOTA,3163387825.0,,,LARAHURTADOLUCIANA@GMAIL.COM,5514,Alojamiento rural,,,,,,,668769-1,LARA HURTADO LUCIANA ,
700730-2,HOTEL EL ROBLE # 2,Carrera 53 48 65,MEDELLÍN,3006218898.0,,,stban35@gmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,670463-1,PADILLA MORA ESTEBAN ,
737495-2,PROVENZA LIFE UNIT 901,CALLE 6 NO. 32 135 APTO 901,MEDELLÍN,6045833582.0,,,camposandra@yahoo.com,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5519.0,Otros tipos de alojamiento para visitantes,7912.0,Actividades de operadores turísticos,,,682682-12,IN HOUSE REAL ESTATE S.A.S.,SANDRA PATRICIA CAMPO VELASQUEZ
737446-2,EDIFICIO PIEDRAS ROJAS APTO 21,CALLE 8 42 47,MEDELLÍN,3046718953.0,,,rental.primeproperties@gmail.com,5519,Otros tipos de alojamiento para visitantes,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,,714495-12,PRIME PROPERTY S.A.S,KAREN GINEET RAVE OROZCO
684762-2,"FINCA DE DESCANSO ´´LA VACA´´
",VEREDA LA MONTAÑITA,BARBOSA,4115542.0,3146193068.0,,jorgechutas@gmail.com,5514,Alojamiento rural,,,,,,,650197-1,MEDINA VANEGAS LILIANA MARIA,
737574-2,FINCA VILLA RUTH,"Vereda la zulia lote 1 Finca Villa Ruth, El Peñol",MEDELLÍN,3217638736.0,,,ferlopezzzco@hotmail.com,5513,Alojamiento en centros vacacionales,,,,,,,714673-1,BUSTAMANTE MERCHAN JOHN FERNANDO,
701762-2,HOSPEDAJE EL DESCANSO # 1,CARRERA 64 C 75 58,MEDELLÍN,3142649645.0,,,certificadosygestion@gmail.com,5511,Alojamiento en hoteles,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,,,671803-1,OSORIO DE GALVIS MARTHA OFELIA,
737741-2,FINCA LA NEREIDA,VEREDA LOMA HERMOSA KM 1.3 FINCA LA NEREIDA,SAN JERÓNIMO,3128322436.0,,,alejoaleja@gmail.com,5514,Alojamiento rural,,,,,,,714871-1,LOPEZ GRANDA OSCAR ALEJANDRO,
737669-2,LANDMARK HOTEL ,CALLE 14 43 D 85,MEDELLÍN,3002162706.0,3042343158.0,,valentina@landmarkmedellin.com,5511,Alojamiento en hoteles,7912.0,Actividades de operadores turísticos,7990.0,Otros servicios de reserva y actividades relacionadas,,,645523-12,MANILA HOLDINGS S.A.S,BRADLEY HINKELMAN
701652-2,KAMARIJA,VEREDA RIO CLARO FINCA LA ISLA,JARDIN,3502914241.0,3502484808.0,,grupoacevedoramirez@gmail.com,5514,Alojamiento rural,5519.0,Otros tipos de alojamiento para visitantes,7912.0,Actividades de operadores turísticos,4631.0,Comercio al por mayor de productos alimenticios,671603-12,GRUPO ACEVEDO RAMIREZ S.A.S,BIBIANA MARIA ACEVEDO GALEANO
671678-2,CABAÑA LA SULTANA,CALLE 22 A 12 A 181 CASA 104,SAN JERÓNIMO,3103899734.0,,,jmz98jmp@hotmail.com,5512,Alojamiento en apartahoteles,,,,,,,633588-1,ZAPATA TAMAYO JOHN MARIO,
737842-2,"KASEDNA HOUSE S.A.S.
",CORREGIMIENTO SAN BARTOLO VEREDA SAN BARTOLO,ANDES,3105374622.0,,,kasedna2019@gmail.com,5514,Alojamiento rural,7990.0,Otros servicios de reserva y actividades relacionadas,7911.0,Actividades de las agencias de viaje,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,715001-12,KASEDNA HOUSE S.A.S.,JUAN CAMILO VELEZ ORTEGA
720907-2,MIAMI BEACH HOTELS GROUP,CARRERA 10 27 06,MEDELLÍN,3227302032.0,,,gerenciadehoteles1@gmail.com,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5511.0,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,9007.0,Actividades de espectáculos musicales en vivo,694918-1,FREYTES PIÑA MANUEL ALEJANDRO,
684885-2,FINCA VISTA HERMOSA LA QUINTA,VEREDA LA QUINTA,ANGOSTURA,3206793035.0,,,yanetguerra05@hotmail.com,5514,Alojamiento rural,,,,,,,533717-1,GUERRA HENAO MARIA EVANGELINA,
671868-2,BUNTES HAUS SAS,Carrera 77 B 45 G 94,MEDELLÍN,3126045283.0,3017769791.0,,yacuva21@hotmail.com,5511,Alojamiento en hoteles,5512.0,Alojamiento en apartahoteles,,,,,633888-12,BUNTES HAUS S.A.S.,ADRIANA MARIA CARMONA VASQUEZ
672064-2,HOTEL LA MOLIENDA PAISA,AUTOPISTA NORTE - KILOMETRO 23,GIRARDOTA,3136213668.0,3194057453.0,3174326996.0,joselizcano0617@gmail.com;armandurango@yahoo.com,5511,Alojamiento en hoteles,5590.0,Otros tipos de alojamiento n.c.p.,,,,,634190-1,LIZCANO BORGO JOSE ANDRES,
689409-2,"HOTEL CLF
",CARRERA 68 49 20,MEDELLÍN,5578071.0,3176575305.0,,alexperezfer@gmail.com,5511,Alojamiento en hoteles,5512.0,Alojamiento en apartahoteles,,,,,653222-12,INVERSIONES GULUSE S.A.S.,ALEXANDER PEREZ FERNANDEZ
737427-2,MANILA CASA 12,CALLE 12 43 B 21,MEDELLÍN,3046718953.0,,,rental.primeproperties@gmail.com,5519,Otros tipos de alojamiento para visitantes,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,5512.0,Alojamiento en apartahoteles,,,714495-12,PRIME PROPERTY S.A.S,KAREN GINEET RAVE OROZCO
720523-2,PORTAFOLIO TURÍSTICO GROUP,VIA SANTA FE DE ANTIOQUIA SECTOR COLFRUTAS,MEDELLÍN,3627399.0,3107314735.0,3135304487.0,portafolioturisticosas@gmail.com,5511,Alojamiento en hoteles,5513.0,Alojamiento en centros vacacionales,7911.0,Actividades de las agencias de viaje,4290.0,Construcción de otras obras de ingeniería civil,694408-12,PORTAFOLIO TURÍSTICO GROUP S.A.S.,RUBEN DARIO VALENCIA ALVAREZ
741369-2,HOSTAL MIRADOR DE BOLIVAR,CARRERA 51 55 16,MEDELLÍN,3242833865.0,3017791036.0,,cabassrzoficial@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,719243-1,RAMIREZ LOPEZ SANTIAGO ,
673441-2,CABAÑA MANANTIAL DEL TURPIAL,VEREDA LA HERRERA. CRA 8A N 13 331,JARDIN,3105553188.0,,,arleyg1876@outlook.com,5514,Alojamiento rural,,,,,,,636065-1,GIRALDO GARCIA ARLEY,
700989-2,HOTEL EL VIAJERO DE CAÑASGORDAS,CR BOLIVAR 29 46,CAÑASGORDAS,3505147961.0,,,santiagorbastidas@gmail.com,5511,Alojamiento en hoteles,,,,,,,670802-1,RESTREPO BASTIDAS SANTIAGO ,
689437-2,HOTEL Y RESTAURANTE LA TRINIDAD,CALLE 14 1 05,CAUCASIA,3116307878.0,,,gruposajarsas@hotmail.com,5611,Expendio a la mesa de comidas preparadas,5511.0,Alojamiento en hoteles,5621.0,Catering para eventos,,,655973-12,GRUPO SAJAR S.A.S. ZOMAC,GUILLERMO LEON ARBELAEZ SALAZAR
685412-2,INMOBILIARIA MILLA DE ORO,CARRERA 29 C 10 C 100 APTO 702,MEDELLÍN,3218615449.0,,,info@feelgoodnow.com.co,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,6820.0,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5512.0,Alojamiento en apartahoteles,7912.0,Actividades de operadores turísticos,651027-12,FEEL GOOD NOW S.A.S.,KEVIN ALEJANDRO BURGOS GUETE
685843-2,HOTEL AZUL SOPETRAN,CALLE 10 9 20 PISO 2,SOPETRAN,3005866731.0,,,hotelazulsopetran@gmail.com,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,,,651557-12,HOTEL AZUL SOPETRAN S.A.S.,JOSE FABIAN GIRALDO PATIÑO
685363-2,REPOSO ORIENTAL,CALLE 59 #47-73,MEDELLÍN,3146330630.0,,,rogeliogiraldoarias@gmail.com,5590,Otros tipos de alojamiento n.c.p.,,,,,,,650971-1,GIRALDO ARIAS ROGELIO,
701346-2,ALOJAMIENTO DOÑA MARIA ,Calle 77 DD No. 82 A 45,MEDELLÍN,2344466.0,3148177976.0,3104065187.0,vero4586@hotmail.com,5590,Otros tipos de alojamiento n.c.p.,5519.0,Otros tipos de alojamiento para visitantes,,,,,671197-1,FERNANDEZ BONILLA MARIA AUXILIO,
725150-2,FINCA LA SANTA ANA,VDA LA MIRANDA,SOPETRAN,3146109439.0,,,deival0806@hotmail.com,5519,Otros tipos de alojamiento para visitantes,5514.0,Alojamiento rural,,,,,700046-1,HOLGUIN BRAN DEICY ,
685731-2,CAPRICHITOS PARA BEBES,CARRERA 52 1 43,MEDELLÍN,3008582414.0,,,isacris9211@gmail.com,5310,Actividades postales nacionales,4773.0,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",4769.0,Comercio al por menor de otros artículos culturales y de entretenimiento n.c.p. en establecimientos especializados,5514.0,Alojamiento rural,651417-1,COGOLLO RAMIREZ ISABEL CRISTINA,
701655-2,1105 AM,CALLE 19 43 G 80 AP 1607 TORRE 7,MEDELLÍN,3137680706.0,3136616649.0,,andresrodriguez.dv@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,671608-1,RODRIGUEZ RAMIREZ ANDRES FELIPE,
686571-2,COZY APARMENT IN THE POBLADO - SAN LUCAS,CALLE 18 SUR 24 127,MEDELLÍN,5810045.0,,,unimotosmedellin@gmail.com,5512,Alojamiento en apartahoteles,,,,,,,652465-1,BERNAL CORREA JORGE MIGUEL,
742456-2,ASESORIAS JURIDICAS L & C,CARRERA 77 39 B 94,MEDELLÍN,3196554582.0,,,ANDREADERECHO@GMAIL.COM,6910,Actividades jurídicas,5519.0,Otros tipos de alojamiento para visitantes,,,,,720563-1,USUGA DAVID YULIANY ANDREA,
742494-2,CASA D'ARTIST,CARRERA 37 NO. 10 24,MEDELLÍN,3137150244.0,,,galindo.adry@gmail.com,5511,Alojamiento en hoteles,5611.0,Expendio a la mesa de comidas preparadas,,,,,617272-12,BG.MED SAS,JOSEPH PATRICK MILLER
690860-2,INVERSIONES E INMOBILIARIA SANTA CLARA S.A.S.,CARRERA 81 B 50 27,MEDELLÍN,3148143676.0,,,iei-santaclara@hotmail.com,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,5513.0,Alojamiento en centros vacacionales,6820.0,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,4631.0,Comercio al por mayor de productos alimenticios,657851-12,INVERSIONES E INMOBILIARIA SANTA CLARA S.A.S.,ELIZABETH CUARTAS COLORADO
691386-2,JARDIN ENCANTADO LA PARAISA,SECTOR LA PARAISA,JARDIN,3126079336.0,,,jardinencantadolaparaisa@gmail.com;ariadnavargasdiaz@gmail.com,5514,Alojamiento rural,,,,,,,658550-1,VARGAS DIAZ ARIADNA,
691769-2,ENERGY LIVING APARTAMENTOS AMOBLADOS 1304,CARRERA 30 CALLE 10 - 225 APTO 1304,MEDELLÍN,4801200.0,,,ana@casacol.co,5511,Alojamiento en hoteles,5519.0,Otros tipos de alojamiento para visitantes,,,,,477334-12,PROPIEDAD RAIZ CASACOL S.A.S.,BRADLEY H. HINKELMAN
691047-2,"LAURELES FACTORY LIVE AND WORK
",CARRERA 69 # CIRCULAR 1 - 14,MEDELLÍN,2684007.0,3014433532.0,,mariana.arango@casacol.co,5511,Alojamiento en hoteles,5519.0,Otros tipos de alojamiento para visitantes,7912.0,Actividades de operadores turísticos,7990.0,Otros servicios de reserva y actividades relacionadas,590580-12,LAURELES HOLDINGS S.A.S.,BRADLEY H. HINKELMAN
743064-2,HOTEL BRISAS DE VERANO,CALLE 55 50 75,MEDELLÍN,3135787854.0,,,yurleny50@outlook.es,5511,Alojamiento en hoteles,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,721300-1,RESTREPO YURLENY DEL CARMEN,
725409-2,LA TIERRA DE LOS ABUELOS,SECTOR SANTA ELENA VEREDA VENTORILLO,CIUDAD BOLIVAR,3126300478.0,,,andressgarces2881@gmail.com,5514,Alojamiento rural,7912.0,Actividades de operadores turísticos,1062.0,"Descafeinado, tostión y molienda del café",,,700337-1,GARCES RESTREPO CARLOS ANDRES,
691965-2,"CASA AZUL LA GARRUCHA
",CARRERA 9 A 12 05 URBANO,JARDIN,3015616548.0,,,azulcotour@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,619505-12,AZULCOTOUR S.A.S.,CHRISTOPHE HENRI DOLL
742955-2,AMOBLADOS LOS ALPES,CALLE 29 A 85 13 ED VISTA HERMOSA,MEDELLÍN,3136578550.0,3135450219.0,,manuelvidalh@gmail.com,5512,Alojamiento en apartahoteles,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,,721172-1,VIDAL INESTROZA MANUEL ALEJANDRO,
690536-2,FINCA VILLA FLOR,VEREDA LOMITA 1,BARBOSA,3207256155.0,,,cmca38@hotmail.com,5514,Alojamiento rural,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5513.0,Alojamiento en centros vacacionales,4799.0,"Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados",657413-1,CASTAÑO BUITRAGO YEISON ARLEY,
691288-2,HOTEL VILLAJULIANA JARDIN,CARRERA 6 12 A 02,JARDIN,3122185160.0,,,jandroesc@gmail.com,5511,Alojamiento en hoteles,,,,,,,658415-1,ESCOBAR PEREZ ALEJANDRO JOSE,
725701-2,VIVRE + INMOBILIARIO ,CARRERA 32 13 49 EDIFICIO C 13 OFICINA 904,MEDELLÍN,3116089.0,3128513052.0,,jvarquitectos@une.net.co,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,5519.0,Otros tipos de alojamiento para visitantes,,,,,384958-7,VERA / A Y CIA. S.C.A.,JAVIER VERA LONDOÑO
743118-2,LUNA DEL RIO,CARRERA 70 CIRCULAR DOS NO 27 PISO DOS,MEDELLÍN,3127978388.0,,,jefferson19jesus@gmail.com,5519,Otros tipos de alojamiento para visitantes,5530.0,Servicio de estancia por horas,,,,,721377-1,CHACON PEREZ JEFFERSON JESUS ARFILIO,
725726-2,MED RENTALS,Calle 16 41 51 AP 301,MEDELLÍN,3146150198.0,,,mde.corentals@gmail.com,6810,Actividades inmobiliarias realizadas con bienes propios o arrendados,6820.0,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5519.0,Otros tipos de alojamiento para visitantes,,,700697-12,MDE RENTALS S.A.S,SEBASTIAN PELAEZ GALLEGO
743810-2,HOTEL MAGEBA REAL,CALLE 52 NO. 53 88,MEDELLÍN,3183757472.0,3163051510.0,,patirios26@outlook.com,5511,Alojamiento en hoteles,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",,,,,722215-1,RIOS GUARIN NELFI PATRICIA,
743326-2,TRAVELTOURS ADARGAS,Calle 50 No. 70 124 PISO 2 OFIC 201,MEDELLÍN,3134667465.0,3116793650.0,,adargasmedellin@hotmail.com,7911,Actividades de las agencias de viaje,5511.0,Alojamiento en hoteles,,,,,,ADMINISTRADORA DE HOTELES ADARGAS S.A.S,
703620-2,BAMBU GLAMPING ECOLODGE,CALLE 6 32 164,MEDELLÍN,3015974803.0,,,bambuglamping@gmail.com,5519,Otros tipos de alojamiento para visitantes,5619.0,Otros tipos de expendio de comidas preparadas n.c.p.,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,,673894-1,GOMEZ VASQUEZ RIGO ALBERTO,
706396-2,HOGAR DE PASO FUERZA Y VOLUNTAD,CALLE 61 45 43 INTERIOR 201,MEDELLÍN,3134827469.0,3134827485.0,,fundacioncomunidad2023@hotmail.com,5611,Expendio a la mesa de comidas preparadas,5511.0,Alojamiento en hoteles,4729.0,"Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",8730.0,Actividades de atención en instituciones para el cuidado de personas mayores y/o discapacitadas,6843-22,FUNDACION COMUNIDAD TERAPEUTICA FUERZA Y VOLUNTAD,MIRIAM ROSA MAGALLANEZ WUILCHES
760345-2,TRIBUTO ALOJAMIENTO,VEREDA PIEDRA GORDA CORREGIMIENTO SANTA ELENA,MEDELLÍN,3137713440.0,3245608381.0,3008505131.0,tributohospedaje@gmail.com;dianamilenamuriel@gmail.com,5514,Alojamiento rural,,,,,,,742344-1,MURIEL MUÑOZ DIANA MILENA,
760531-2,LINDA SOFIA SE VALLE REAL ,HACIENDA VALLE REAL CALLE 8 A # 1 - 119 CASA 99,SANTAFE DE ANTIOQUIA,3216394048.0,,,info@lindasofia.com,5514,Alojamiento rural,5629.0,Actividades de otros servicios de comidas,5611.0,Expendio a la mesa de comidas preparadas,,,714408-1,ESCOBAR PARRA SANTIAGO ,
760490-2,PARAISO ESCONDIDO,CARRERA 11 A # 7 - 118 CASA 7 E,SANTAFE DE ANTIOQUIA,3004410332.0,,,jnumaelm@hotmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,742529-1,CARRION MARTINEZ JAIME NUMAEL,
725940-2,CABAÑAS LA SILLETA,SANTA ELENA VEREDA EL CERRO + 200 MTS,MEDELLÍN,3202886542.0,,,JE.ARIAS@OUTLOOK.ES,5519,Otros tipos de alojamiento para visitantes,,,,,,,700935-1,ARIAS GIRALDO JUAN ESTEBAN,
760268-2,CRISTIAN FELIPE,VEREDA PALO GRANDE,MEDELLÍN,3193863097.0,,,santiagoserna99@yahoo.com,5514,Alojamiento rural,,,,,,,742247-1,BOTERO MURIEL CRISTIAN FELIPE,
691996-2,CHARLIE PALACE HOSTEL,CALLE 11 A 43 F 24,MEDELLÍN,3188382696.0,,,carlosluispalacio@gmail.com;charliepalaceh@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,659322-1,PALACIO ORTIZ CARLOS LUIS,
726032-2,OASIS HOSTEL MEDELLIN,CALLE 43 NO. 77 66,MEDELLÍN,3229520372.0,,,sc487z@gmail.com,5519,Otros tipos de alojamiento para visitantes,5611.0,Expendio a la mesa de comidas preparadas,,,,,686961-12,IMPOLA ENTERPRISES S.A.S.,SCOTT EDWARD IMPOLA
747634-2,POSADA TURISTICA VIILA ANA,Finca vereda buga,JERICÓ,3227662435.0,,,robin1594@hotmail.com,5514,Alojamiento rural,,,,,,,726882-1,VELEZ MORALES ROBINSON ,
763686-2,LA OCULTA,VEREDA- LA OCULTA- TAMESIS- ANTIOQUIA,TAMESIS,6044446783.0,,,graciela_ocon@nca.com.co,5511,Alojamiento en hoteles,5514.0,Alojamiento rural,,,,,392728-12,NUESTRA COCINA ARTESANAL S.A.S.,CAMILO RESTREPO MESA
734127-2,CASA DEL RETIRO,"Casa El Retiro Lote 6 - Manzana B, Parcelación Pueblo Cauca Viejo,",JERICÓ,3104448789.0,,,trueandsecuritmed@gmail.com,5514,Alojamiento rural,,,,,,,710476-1,PINZON VEGA MONICA ,
704407-2,PENCION MANI 1,Carrera 50 D No. 62 125,MEDELLÍN,3217530961.0,3105021917.0,,jaimebravo40@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,618890-1,BRAVO CARTAGENA LEIDY JOHANA,
734175-2,HOSPEDAJE CASA BLANCA CAROLINA,CALLE 50 47 58,CAROLINA,3197510893.0,,,johannameneses1702@gmail.com,5511,Alojamiento en hoteles,,,,,,,710535-1,MENESES ARANGO NINI YOHANNA,
734448-2,HOSTAL II AIR GHC SAS,CALLE 13 43 D 36 PISO 2,MEDELLÍN,3228350355.0,,,lorenzocosson@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,616905-12,AIR GHC S.A.S.,LORENZO COSSON
760638-2,LA ESTANCIA SANTA FE ,VEREDA EL PASO - EXTREMADURA,SANTAFE DE ANTIOQUIA,3003021545.0,6045781824.0,,infohotelmorichalsantafe@gmail.com,5511,Alojamiento en hoteles,,,,,,,742715-12,GRUPO MARIN OCAMPO S.A.S.,PAULA ANDREA RODRIGUEZ MARIN
725945-2,CASA PROVENZA 1,PROVENZA CRA 34 # 7 - 64,MEDELLÍN,3006574678.0,,,inversioneshenaog@gmail.com,5519,Otros tipos de alojamiento para visitantes,6810.0,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,,688587-12,INVERSIONES HENAO GUERRA S.A.S,PABLO HENAO NAVAS
760297-2,ART LIVING 302,CALLE 12 NO. 40 A 95,MEDELLÍN,6045833582.0,,,camposandra@yahoo.com,6820,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,5519.0,Otros tipos de alojamiento para visitantes,7912.0,Actividades de operadores turísticos,,,682682-12,IN HOUSE REAL ESTATE S.A.S.,SANDRA PATRICIA CAMPO VELASQUEZ
734810-2,RESIDENCIAS NUEVO PARAISO,CARRERA 54 53 18,MEDELLÍN,3117795104.0,,,fachag010@gmail.com,5530,Servicio de estancia por horas,5630.0,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,5590.0,Otros tipos de alojamiento n.c.p.,4711.0,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",751832-1,CHAVERRA GOMEZ FABIO DE JESUS,
706619-2,FIFTH STREET,CALLE 5 SUR 37 88,MEDELLÍN,3045334611.0,3104690768.0,,vicreasas@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,,"VICREA S.A.S. 
",
726337-2,RESIDENCIA E.E,AV 80 52 04,MEDELLÍN,3233238715.0,,,danny1994n@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,681221-1,MENDOZA ESPINOZA DANIEL EDUARDO,
747790-2,LA CASA DE LA ABUELA JERICO,CALLE 4 4 41,JERICÓ,3217736732.0,,,casadelaabueladocumentos@hotmail.com,5519,Otros tipos de alojamiento para visitantes,5611.0,Expendio a la mesa de comidas preparadas,,,,,727096-1,PELAEZ PELAEZ ANDREA CATALINA,
735418-2,PROVENZA LIFE UNIT 201,Calle 6 32 135,MEDELLÍN,3192027520.0,,,juliana@jlegalstudio.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,711978-1,BINTZ JOHN ,
763969-2,FINCA LA CAPILLA,VRD RODEO AGUAMALA FINCA LA CAPILLA,SOPETRAN,3146398051.0,,,cafemartinez@gmail.com,5514,Alojamiento rural,5519.0,Otros tipos de alojamiento para visitantes,,,,,747084-1,GOMEZ ARISTIZABAL HERICA MARCELA,
735683-2,ED KARMELE APTO 207,Carrera 81 45 G 28 Apto 207 Ed. Karmele,MEDELLÍN,3003549944.0,,,andreita381@gmail.com,5519,Otros tipos de alojamiento para visitantes,,,,,,,712308-1,ZAPATA VELEZ ANDREA ,
